40 1400
1 2 23
1 4 6
1 5 7
1 6 26
1 7 29
1 9 24
1 10 28
1 11 1
1 12 14
1 13 30
1 14 21
1 15 14
1 16 20
1 18 25
1 19 21
1 20 26
1 21 30
1 22 15
1 23 17
1 24 17
1 25 22
1 26 8
1 27 24
1 28 23
1 29 19
1 31 3
1 32 27
1 33 24
1 34 9
1 35 1
1 36 24
1 37 24
1 38 7
1 39 30
1 40 11
2 2 27
2 3 16
2 5 8
2 6 27
2 7 21
2 10 7
2 11 17
2 12 26
2 13 18
2 14 4
2 15 16
2 16 13
2 17 25
2 18 30
2 19 29
2 20 11
2 21 14
2 22 7
2 23 4
2 25 6
2 26 17
2 27 6
2 29 24
2 30 10
2 31 6
2 33 25
2 34 4
2 35 29
2 36 1
2 37 25
2 38 10
2 39 27
2 40 2
3 3 9
3 4 15
3 5 22
3 7 8
3 8 1
3 10 17
3 11 25
3 12 4
3 13 3
3 14 8
3 15 20
3 17 24
3 18 28
3 19 30
3 20 29
3 21 4
3 22 3
3 23 26
3 24 20
3 25 30
3 26 20
3 27 22
3 28 6
3 29 14
3 31 17
3 35 26
3 36 6
3 37 11
3 39 5
3 40 2
4 1 13
4 2 6
4 3 16
4 4 26
4 6 13
4 7 8
4 8 13
4 9 7
4 10 4
4 11 7
4 12 6
4 13 23
4 14 22
4 15 4
4 16 15
4 17 21
4 18 29
4 19 17
4 20 16
4 21 11
4 23 9
4 24 5
4 25 2
4 26 14
4 28 18
4 29 18
4 30 1
4 31 23
4 32 20
4 33 6
4 34 16
4 35 2
4 36 3
4 37 23
4 38 28
4 39 15
4 40 23
5 1 2
5 2 13
5 4 26
5 5 30
5 6 19
5 7 10
5 9 21
5 10 22
5 11 24
5 12 11
5 13 12
5 14 3
5 15 19
5 16 22
5 17 11
5 18 23
5 19 15
5 20 16
5 21 3
5 22 2
5 23 16
5 24 17
5 25 14
5 26 13
5 27 3
5 28 7
5 29 15
5 30 17
5 31 26
5 32 21
5 33 9
5 34 27
5 36 4
5 37 26
5 38 18
5 39 14
6 1 6
6 2 9
6 3 27
6 4 21
6 5 11
6 7 8
6 9 23
6 10 29
6 11 22
6 12 25
6 13 22
6 14 6
6 16 2
6 17 24
6 19 30
6 20 10
6 21 2
6 23 13
6 24 22
6 25 26
6 26 19
6 28 29
6 29 13
6 30 15
6 31 11
6 32 13
6 33 3
6 35 6
6 36 1
6 37 21
6 38 19
6 40 6
7 1 29
7 2 7
7 3 18
7 5 9
7 6 15
7 7 3
7 8 8
7 11 6
7 12 27
7 13 21
7 14 11
7 15 21
7 16 6
7 17 2
7 18 30
7 20 7
7 21 14
7 22 21
7 23 3
7 24 3
7 25 11
7 26 7
7 27 17
7 28 22
7 29 19
7 30 11
7 31 27
7 32 19
7 34 1
7 35 8
7 36 16
7 37 29
7 38 14
7 39 4
7 40 30
8 1 20
8 2 28
8 3 29
8 4 25
8 6 24
8 7 19
8 8 28
8 9 14
8 10 16
8 11 29
8 12 13
8 13 22
8 14 5
8 15 26
8 16 16
8 17 7
8 18 6
8 19 22
8 20 15
8 21 19
8 23 3
8 24 25
8 25 8
8 26 13
8 27 26
8 28 15
8 29 29
8 30 16
8 31 28
8 32 24
8 34 7
8 35 18
8 36 21
8 38 5
8 39 4
8 40 6
9 2 15
9 3 23
9 5 12
9 6 30
9 7 14
9 8 24
9 9 14
9 10 18
9 11 11
9 12 21
9 13 24
9 14 9
9 15 13
9 16 30
9 17 27
9 18 7
9 19 24
9 20 26
9 21 19
9 22 11
9 23 10
9 24 17
9 25 19
9 26 30
9 27 2
9 28 25
9 29 9
9 30 14
9 31 22
9 33 4
9 34 20
9 35 6
9 36 27
9 37 1
9 38 28
9 39 2
9 40 16
10 1 3
10 2 19
10 3 27
10 4 23
10 5 4
10 6 27
10 7 27
10 8 3
10 10 23
10 11 3
10 12 18
10 13 11
10 14 22
10 15 21
10 16 20
10 17 30
10 18 9
