2500 7000
2 897 29
2 1768 14
3 985 9
3 1458 28
3 1981 20
4 1271 15
4 1930 12
5 1965 6
6 575 5
6 2068 6
7 1656 13
8 1305 23
8 2264 5
10 25 15
10 873 17
10 964 8
10 1264 30
11 126 12
11 1614 27
11 1637 4
11 2338 3
12 34 16
12 1508 23
12 1620 27
14 355 24
14 454 14
14 579 30
14 882 30
14 1164 28
14 1344 6
14 2481 11
15 797 27
15 1802 12
16 142 19
16 916 24
16 1599 1
16 2346 25
17 1200 6
17 1435 6
17 1725 29
17 1870 3
18 323 10
18 486 14
18 1702 29
18 1911 25
19 390 22
19 707 7
20 915 16
20 1201 3
20 2418 25
21 634 19
21 1692 28
22 563 10
22 1186 3
22 1197 24
22 1812 25
23 306 9
23 1164 24
24 190 24
24 522 6
24 2163 21
24 2299 26
25 1315 2
25 1341 2
25 1476 6
25 1524 18
25 1573 24
25 1791 30
25 2046 15
26 2163 21
26 2363 20
27 618 17
28 660 1
28 897 25
28 1258 8
28 2255 17
29 516 16
29 1938 14
30 911 2
30 979 11
30 1318 30
30 1622 12
30 1738 30
31 1248 9
31 2322 14
32 748 23
32 1689 3
33 160 22
33 429 8
34 613 18
34 681 20
34 1535 21
34 2410 5
35 433 21
35 1021 22
35 1177 10
36 115 30
36 2115 8
37 619 1
37 1087 14
37 1335 28
37 1410 12
37 2357 1
38 250 28
38 570 7
38 1414 30
39 529 14
39 708 22
39 1571 5
39 2042 7
40 137 24
40 353 4
41 726 18
41 1029 23
42 1935 12
44 183 24
44 231 8
44 1022 6
44 1202 7
45 1393 7
45 1451 15
45 2197 26
46 572 27
46 1124 19
46 2491 9
47 753 11
47 828 20
47 2310 8
48 908 18
48 2482 12
49 557 22
49 665 7
49 2163 23
50 1238 14
50 1359 5
50 1758 21
50 2175 13
50 2437 10
51 195 5
51 2061 17
51 2203 17
52 1366 28
53 354 20
53 736 26
53 783 13
53 1206 23
54 55 19
54 345 20
54 971 28
54 992 26
55 1568 26
55 1734 4
55 2184 21
56 213 23
56 589 22
56 1651 29
56 2112 25
56 2184 3
56 2464 29
57 1292 12
57 1741 6
58 431 20
58 1276 18
58 1516 28
58 1878 3
58 1917 14
59 300 19
60 728 7
60 983 16
60 2049 23
60 2333 23
61 672 2
61 885 12
61 1447 4
61 1521 27
61 2412 24
62 319 26
62 757 8
62 1371 13
62 1679 23
63 493 3
63 1483 1
63 2140 18
64 576 15
65 692 15
66 539 9
66 2211 14
66 2311 9
66 2316 3
67 350 12
67 408 12
68 263 30
68 854 23
68 1885 29
69 149 27
69 763 17
69 1372 5
69 2373 7
70 599 23
70 1037 20
71 1765 21
