200 600
1 33 1
1 53 27
1 104 21
1 114 3
1 160 1
2 101 19
2 105 28
2 165 7
2 180 8
3 37 3
3 54 14
3 153 30
3 167 4
4 124 29
4 131 14
4 140 29
5 30 22
5 160 21
5 163 1
6 12 3
6 74 9
6 92 5
6 147 19
7 29 28
7 57 21
7 58 4
7 105 10
7 185 19
8 59 22
8 130 29
8 150 11
8 181 22
8 186 18
9 78 1
9 95 16
10 117 10
10 147 11
10 199 5
11 141 17
12 3 18
12 5 7
12 31 22
12 124 17
13 34 3
13 52 20
13 96 22
13 111 1
13 189 3
14 36 5
14 57 1
14 88 5
14 99 13
15 31 27
15 63 15
15 81 2
15 110 17
15 123 11
15 188 11
16 133 27
16 175 2
17 92 2
17 118 7
18 1 15
18 130 19
19 25 7
19 37 22
19 58 28
20 155 17
20 199 27
21 45 6
21 48 26
21 120 25
22 37 27
22 175 13
23 42 27
23 45 8
23 85 26
23 98 19
23 149 11
23 164 30
24 102 11
24 156 7
26 36 12
26 59 30
26 66 22
26 71 6
26 84 8
26 90 2
27 7 16
27 77 5
27 79 25
27 181 17
28 193 11
29 58 1
29 119 27
29 130 10
29 132 22
30 2 17
30 106 18
31 49 18
32 184 14
33 4 14
33 68 13
33 111 11
33 158 18
33 168 1
34 69 10
34 190 13
35 38 12
35 50 20
35 136 13
35 148 22
36 103 27
36 116 16
36 129 13
37 31 10
37 188 21
38 183 21
38 189 3
38 194 29
39 158 25
40 24 27
40 29 7
40 59 27
40 66 19
40 110 4
40 132 28
41 34 10
41 68 20
41 80 8
41 100 20
43 73 3
43 113 21
44 125 2
44 160 5
44 197 30
45 147 24
45 149 15
45 175 4
47 192 27
48 90 26
49 4 8
49 40 11
49 61 14
49 71 16
49 132 23
50 13 23
50 156 28
50 170 13
51 104 25
51 105 26
51 169 29
51 176 13
52 53 3
52 83 26
52 89 1
52 95 28
54 30 15
54 69 11
54 87 9
55 158 22
55 171 30
56 192 3
57 16 4
57 38 23
57 122 30
58 60 25
58 157 8
58 170 14
59 19 29
59 141 5
59 147 1
60 25 6
60 37 15
60 137 15
61 7 21
61 49 7
61 97 29
61 198 19
62 50 12
62 100 24
62 166 6
62 168 10
62 172 28
63 8 30
63 198 27
64 95 29
64 155 27
65 78 12
65 81 1
65 139 5
65 174 25
65 194 22
66 1 8
66 11 29
66 129 14
66 142 7
67 18 23
67 40 13
67 132 12
67 147 13
67 190 17
68 9 4
68 69 11
68 83 23
68 122 18
68 150 23
70 161 30
70 189 17
71 2 3
71 72 3
71 89 2
71 167 9
71 179 12
72 103 29
73 185 30
74 43 9
74 117 27
74 125 27
75 121 12
75 140 19
76 106 23
76 146 6
76 162 10
77 29 30
77 158 26
78 28 15
78 49 28
79 125 11
80 2 28
80 38 1
80 115 15
80 127 6
80 161 5
80 172 25
81 1 29
81 15 14
82 17 10
83 2 20
83 35 22
84 50 12
84 121 14
84 154 23
84 160 12
84 175 25
84 189 14
85 77 12
85 147 25
86 23 2
86 180 30
86 198 6
87 64 21
88 37 22
88 71 4
88 76 22
88 99 22
88 139 21
88 157 7
89 20 11
89 38 23
89 61 26
89 86 12
89 128 8
89 169 1
90 135 8
90 180 24
91 4 21
91 59 21
91 109 25
92 1 2
92 65 5
92 104 7
94 35 15
94 132 27
94 172 10
95 44 2
95 45 2
95 133 13
95 167 26
96 28 4
96 174 12
97 10 24
97 45 16
97 58 4
97 59 19
97 81 7
97 134 17
97 171 1
98 125 13
99 73 27
99 102 24
99 155 30
100 12 30
100 41 23
100 78 23
100 168 7
100 191 8
101 35 5
101 73 20
101 74 3
101 83 7
101 89 24
101 117 1
101 169 13
102 146 12
103 60 10
103 88 6
103 103 14
103 108 23
103 154 2
103 165 9
104 8 4
104 23 17
104 85 24
104 169 29
105 90 5
105 121 30
105 180 15
106 52 5
106 54 5
106 85 12
106 119 20
106 121 4
106 139 3
106 174 12
107 66 26
107 83 10
107 99 20
107 111 1
107 149 21
107 158 22
107 185 29
108 60 14
108 70 22
108 107 3
108 130 17
108 171 23
109 33 9
110 3 30
110 28 7
111 26 2
111 102 8
111 115 11
111 146 18
111 168 23
112 7 1
112 109 14
112 131 23
113 108 16
113 153 10
114 4 19
114 5 19
114 67 30
114 142 22
115 11 21
115 23 3
115 33 10
115 87 22
115 99 22
116 17 2
116 56 12
116 86 5
116 105 22
116 122 17
117 27 18
118 158 16
118 175 4
119 64 3
119 73 16
119 100 25
119 148 9
120 51 17
120 196 25
121 175 19
121 191 26
122 27 17
122 140 12
122 170 1
123 148 1
123 178 27
124 72 11
124 77 11
124 187 15
125 89 2
125 132 25
125 135 27
125 138 4
125 144 4
126 14 19
126 166 18
127 154 27
127 191 22
128 20 14
128 49 10
128 93 9
128 130 2
129 77 25
129 188 4
130 84 4
130 194 11
131 89 20
132 53 12
133 24 19
133 110 14
133 114 23
134 183 15
135 3 23
135 24 4
135 87 7
135 117 15
135 148 22
136 22 17
136 177 26
137 172 28
137 187 18
138 85 20
138 123 24
138 142 14
139 6 15
139 27 12
139 73 23
140 29 11
140 81 4
140 168 6
141 43 12
141 97 4
141 185 29
142 185 6
143 133 7
144 36 24
144 92 8
144 95 18
144 165 6
144 169 27
145 39 2
145 116 20
146 131 3
146 185 16
147 5 15
147 75 9
147 142 30
147 145 28
148 1 26
148 14 25
148 52 25
148 113 5
148 120 6
148 129 18
149 29 10
149 75 20
149 78 22
149 179 2
149 198 22
151 38 25
151 46 8
151 185 3
151 198 20
152 82 6
152 179 9
153 115 18
153 178 30
154 14 8
154 25 5
154 67 27
