30 90
1 11 28
1 18 6
1 22 21
1 25 24
2 18 10
2 20 27
2 22 6
3 7 10
3 28 29
4 4 24
4 10 5
4 14 7
5 14 9
5 20 20
6 6 6
6 14 8
6 20 12
7 16 18
7 23 13
8 2 1
8 22 3
9 1 2
9 2 1
9 6 26
9 14 24
10 10 13
10 21 20
10 25 24
10 27 4
11 13 2
11 21 11
11 28 1
12 9 30
12 11 2
12 22 17
13 1 1
13 11 20
13 22 14
13 27 10
14 6 18
14 18 7
14 19 14
14 23 17
14 26 7
15 9 3
15 17 14
15 20 6
15 22 7
16 5 1
16 16 19
16 21 29
16 29 25
17 6 20
17 16 21
17 18 12
18 2 13
18 6 3
18 13 24
19 8 29
19 13 28
19 16 17
19 19 9
19 23 20
20 9 16
20 25 2
21 3 28
21 14 9
21 23 22
21 26 11
22 13 18
22 23 1
23 25 9
24 4 24
24 27 17
24 28 8
24 30 26
25 2 30
26 15 13
26 24 24
27 4 22
27 13 1
27 26 22
28 10 8
28 21 13
29 24 4
29 25 12
29 28 17
30 17 28
30 19 27
30 25 15
