10000 23000
1 4714 18
3 1928 27
3 2562 27
3 3509 3
4 2540 11
4 7680 15
6 3962 24
6 9897 14
7 1314 13
7 1344 1
7 1693 29
7 6937 3
8 5848 19
8 5928 9
9 5943 22
10 5569 23
11 6503 30
13 3360 9
14 2299 22
14 8216 2
15 825 25
15 2303 18
15 6351 17
15 8058 4
16 2761 18
16 6871 29
17 979 18
17 7180 29
18 3270 15
18 4211 27
19 388 11
19 3490 2
19 8075 24
20 4632 7
21 7031 27
22 3034 4
23 3328 13
23 7653 20
24 6783 9
24 7659 25
24 7686 12
25 4123 29
26 5002 19
26 6872 22
27 5023 8
27 9023 2
28 205 14
28 2180 7
28 5012 2
28 5878 28
28 6450 8
28 7291 26
28 7859 15
29 4327 24
29 8622 22
30 783 24
30 1047 15
31 6104 9
31 7113 22
32 2969 29
32 8661 5
33 1570 2
33 4133 23
33 9038 20
33 9235 30
34 6165 19
35 4947 15
36 977 12
36 3452 30
36 8281 23
37 5487 28
37 8790 11
38 8762 22
40 2157 8
41 1433 2
42 1368 29
42 3263 10
42 9817 8
43 3556 5
43 6279 11
43 7517 5
43 9315 4
44 6696 29
44 7335 11
44 7379 19
44 9183 20
45 206 4
45 3193 3
45 4780 28
45 4976 17
46 416 24
46 9104 24
47 8069 18
47 9172 16
48 2362 14
48 9508 17
49 6127 26
50 3827 28
50 5770 20
50 5893 25
50 9358 13
51 537 17
51 7389 27
51 9443 4
52 191 24
52 6141 20
52 7831 24
52 9008 25
53 2259 27
53 4762 20
53 9845 28
54 5377 23
56 3199 15
56 6022 26
56 7139 3
57 9253 3
58 1437 7
58 1732 28
58 3472 28
58 5641 4
59 1266 14
59 1718 21
59 1774 27
59 4726 23
59 6028 28
60 7356 2
61 5579 1
61 6911 23
61 9172 22
61 9495 20
62 350 9
62 4252 4
62 6760 28
64 280 5
64 4102 29
64 8416 14
65 1634 24
65 6225 22
66 5398 8
66 6109 21
66 6679 11
67 3219 27
67 4413 5
67 5422 25
67 7180 22
67 8463 8
69 2098 19
