40 160
1 17 13
1 34 29
1 35 10
2 11 18
2 16 8
2 20 22
2 28 2
2 29 18
2 36 22
3 8 21
3 11 2
3 14 14
3 19 10
3 20 16
3 25 4
3 36 4
4 27 7
4 30 4
4 33 23
5 33 25
5 36 9
6 23 7
6 34 17
7 5 2
7 12 7
7 18 16
7 35 26
7 39 18
8 9 22
8 12 5
8 25 10
8 31 26
9 10 25
9 11 11
9 32 14
10 9 2
10 21 2
10 25 7
11 2 20
11 3 24
11 16 27
11 34 13
11 37 29
12 2 7
12 14 29
12 21 2
12 39 2
13 12 5
13 14 27
13 25 16
13 32 22
14 30 27
14 36 23
15 5 8
15 10 20
15 11 21
15 17 15
15 21 15
15 32 8
16 16 28
16 17 19
16 19 17
16 26 24
17 13 6
17 19 19
17 23 29
18 5 7
18 8 20
18 14 5
18 32 18
18 37 5
19 6 1
19 28 1
19 29 25
19 32 29
20 7 29
20 8 18
20 32 30
20 34 25
21 9 14
21 24 16
21 38 16
22 3 11
22 16 30
22 23 15
22 36 30
23 5 12
24 8 29
24 9 7
24 24 19
24 26 27
25 16 17
26 7 27
27 33 20
27 38 22
28 7 7
28 13 18
28 15 21
28 18 26
28 29 14
28 31 8
28 33 23
28 36 14
28 38 30
29 1 9
29 17 13
29 32 20
30 7 27
30 11 12
30 26 15
30 36 2
31 1 19
31 7 30
31 16 4
31 26 10
31 29 15
31 34 26
31 38 21
32 7 13
32 14 2
32 20 1
32 21 1
32 36 18
33 13 27
33 17 12
33 23 10
33 25 3
33 32 21
34 12 30
34 14 21
34 25 4
34 32 29
35 10 5
35 14 18
35 19 21
35 21 13
35 22 30
35 25 10
36 27 1
36 35 3
36 38 24
37 6 3
37 9 14
37 10 24
37 11 6
37 13 23
37 15 30
37 17 1
37 21 6
37 31 12
38 27 24
39 8 6
39 16 5
39 20 4
39 36 25
40 2 16
40 14 13
40 20 19
40 26 7
40 29 4
