5000 12000
1 125 30
1 3473 19
2 251 22
2 3137 26
3 11 4
3 4361 3
3 4550 3
4 367 22
4 641 6
4 1502 5
4 3367 20
4 4167 4
5 4622 12
6 1957 30
6 2813 14
7 1821 24
7 3087 6
7 3473 20
7 3925 18
7 4108 19
7 4682 16
8 47 6
8 2155 25
8 2907 30
8 3128 18
9 3429 10
9 3941 26
9 4640 25
10 28 30
10 1074 4
10 2170 23
11 924 22
11 2645 23
11 4579 7
13 1743 17
13 2386 18
13 3483 9
13 3997 12
14 1989 1
14 2425 6
14 3836 16
14 4225 12
14 4298 10
14 4685 19
16 4699 11
16 5000 23
17 1872 5
17 3780 16
18 158 5
18 1133 22
18 4262 26
19 186 20
19 1814 19
19 3008 12
19 3665 12
20 908 6
20 2029 22
20 2694 29
21 147 1
21 3305 21
24 1790 2
25 139 15
25 3301 12
25 3448 16
25 4422 21
25 4506 21
26 3791 4
27 404 22
27 2955 2
27 3439 26
27 3655 27
27 4018 17
27 4776 8
28 145 6
28 671 27
28 4506 18
29 4838 21
30 276 1
30 3960 26
31 1468 25
32 141 22
32 867 21
32 2006 6
32 4254 11
33 742 3
33 1237 17
34 1059 8
34 3218 24
34 3459 15
35 213 8
35 288 6
37 1711 17
37 2413 23
37 3395 10
38 2695 2
38 2898 5
38 4304 30
39 2565 27
39 3514 26
40 3408 1
40 4694 23
40 4935 15
41 2124 9
41 3893 30
43 8 12
43 987 27
43 1931 9
43 4407 2
44 1014 28
44 2207 4
44 3770 26
45 992 11
45 2494 25
46 1106 2
46 4127 21
47 950 19
47 2555 10
48 1446 29
48 1964 12
50 258 25
51 1424 28
51 1519 17
51 3037 3
51 3176 12
51 4888 26
52 977 26
53 1323 17
53 2501 17
53 3061 23
55 1082 4
55 1340 17
55 1794 7
55 2488 10
55 2723 17
55 2856 28
55 4358 22
56 13 14
56 1209 6
56 1917 23
56 2233 3
56 3560 10
56 4688 11
57 4376 13
58 4301 26
59 299 4
59 4996 4
60 2269 14
60 2402 13
60 3527 24
60 4130 17
61 475 29
61 484 13
61 1445 25
61 2716 1
61 2910 25
61 3786 13
61 4143 27
61 4171 3
61 4953 29
62 1081 11
62 2321 28
63 372 8
63 814 9
63 2165 8
64 3298 24
64 3574 6
65 1734 29
66 2818 29
67 2982 11
68 2435 13
69 223 1
69 378 12
69 4259 23
70 1764 14
70 2052 7
71 4611 18
72 1757 9
72 2309 20
72 3164 1
73 2770 24
74 41 28
74 413 29
74 3117 6
74 3239 23
75 1431 22
75 1647 30
75 1828 5
75 2674 10
75 4100 2
75 4763 3
76 273 20
77 2420 30
77 3588 10
77 4358 20
78 1854 29
79 2742 26
79 4623 25
80 1141 27
80 4018 16
81 85 27
81 507 1
81 4627 17
83 4047 9
84 153 24
84 1697 22
84 2229 7
85 3242 11
85 4377 30
86 2627 19
87 2180 3
87 4441 23
89 2122 16
89 2589 24
89 2770 28
89 3944 8
90 2011 15
90 3715 20
90 3943 12
91 3188 24
92 2507 13
92 3439 7
92 4216 5
93 1287 4
93 2676 8
93 3280 24
94 673 2
94 4192 3
95 860 10
95 3981 20
95 4153 11
96 4452 6
96 4497 21
96 4643 27
98 4665 6
99 2252 14
101 390 18
101 1746 13
101 2989 16
102 1077 9
102 3467 1
102 4172 11
103 432 1
103 2542 16
104 3374 4
104 4109 20
105 444 16
105 1628 18
105 2498 1
105 2645 19
105 2683 3
105 2730 6
105 2791 25
105 3427 29
105 4182 9
106 2357 25
106 3415 22
108 1915 11
108 3973 19
108 4266 23
109 3366 22
109 4951 29
110 115 20
112 532 12
112 682 25
112 1045 26
112 4845 17
113 1016 4
113 2542 8
114 214 25
114 540 12
115 2407 8
115 2906 5
115 4998 4
117 1155 15
117 4458 8
118 3896 16
119 2694 30
119 4889 17
120 268 16
120 367 11
120 977 11
120 1819 21
120 1951 5
121 3749 9
121 4037 22
122 1427 29
122 1854 22
122 1906 2
123 4712 18
124 2907 14
124 4962 15
126 60 16
126 2910 3
126 3581 27
126 4712 3
128 493 28
128 830 13
128 2255 6
128 3662 27
128 3890 7
128 4734 18
129 2283 26
130 1509 11
130 2663 13
131 2463 11
131 3988 10
132 376 28
132 2610 2
133 783 18
134 280 6
134 1923 12
135 1434 28
135 4821 18
136 1903 9
137 1739 6
137 2156 9
137 3191 29
138 203 27
138 236 2
138 469 8
138 3711 2
138 4378 17
139 69 16
139 931 5
139 1639 13
139 4961 18
140 3300 24
141 1148 25
141 1301 15
141 1637 21
141 4240 24
143 2875 24
144 2957 16
144 3571 26
144 4545 7
145 3277 18
145 4413 6
146 903 4
146 2719 12
146 2728 23
146 4424 1
147 1014 23
147 2513 13
147 2954 19
148 185 23
148 573 18
148 917 27
148 3307 14
148 4035 7
149 646 21
149 693 21
149 1740 8
150 2319 7
150 2757 6
151 1083 12
151 3420 19
151 4306 15
153 202 6
155 1274 5
155 2981 30
155 4114 18
156 2491 20
157 1812 23
157 2223 3
157 4257 16
158 855 21
158 4010 13
160 614 13
160 1770 17
160 2025 24
160 2229 5
160 3831 17
160 4860 8
161 60 17
161 1042 5
161 1193 1
161 1251 27
161 3848 24
162 3114 14
162 4133 3
163 3559 14
164 4115 4
164 4227 10
165 1070 12
165 1200 2
165 2864 14
165 3951 30
166 3010 16
166 4284 11
168 4213 26
170 138 7
171 1041 28
171 4640 8
172 1181 22
173 2446 30
173 3199 23
174 581 12
174 3792 4
175 1373 27
176 469 28
177 1958 27
177 4839 1
178 801 15
178 3001 5
179 128 10
179 1176 11
179 2718 5
179 2882 28
179 4672 26
180 1000 10
180 1167 30
180 1566 9
180 4378 5
181 680 1
181 1981 20
182 2622 6
183 852 14
183 1625 11
183 3389 14
183 3434 16
183 3778 29
183 4537 20
184 2034 13
184 2876 28
184 4303 11
185 337 5
185 995 20
185 1180 15
185 2189 8
185 4533 16
186 2019 12
188 389 5
189 218 8
189 238 26
189 849 9
189 2785 9
189 3877 29
190 225 5
190 536 6
190 2691 24
190 3591 14
190 4353 27
191 2629 25
