50 200
1 6 12
1 9 30
1 21 4
1 46 27
2 6 19
2 16 30
2 21 8
2 23 22
2 34 11
2 39 1
3 3 15
3 4 12
3 16 24
3 17 10
3 39 4
3 43 30
3 44 20
3 48 6
4 5 20
4 20 13
4 38 29
5 8 16
5 22 16
6 23 3
7 16 1
7 19 13
7 28 20
8 6 5
8 15 25
8 16 17
9 7 24
9 12 28
10 2 9
10 4 27
10 5 24
10 35 19
10 37 18
10 38 24
10 45 2
10 48 20
11 2 24
11 14 16
11 32 1
12 3 9
12 4 17
12 27 26
12 32 8
12 34 6
13 6 2
13 10 19
14 8 10
14 22 22
14 25 5
14 49 25
15 14 16
15 39 27
16 1 7
16 17 5
16 38 23
17 35 1
17 46 14
17 48 16
18 2 29
18 17 22
18 20 4
19 4 14
19 35 10
19 36 21
20 1 7
20 6 3
20 19 11
20 33 23
20 42 18
20 43 3
20 46 1
21 4 4
21 10 29
21 17 9
22 13 1
22 23 22
22 43 19
23 12 2
23 17 13
23 22 23
23 43 26
24 7 28
24 10 19
24 14 3
24 23 25
24 49 11
25 25 25
25 32 8
25 35 18
26 30 15
26 42 29
26 50 21
27 15 29
27 23 30
27 36 4
27 39 5
28 22 2
28 23 6
28 33 27
28 35 11
28 41 8
28 46 28
29 10 6
29 23 28
29 24 28
29 30 28
29 44 19
29 47 16
30 12 29
30 30 23
30 45 1
31 9 24
31 21 21
31 40 19
32 7 18
32 33 7
32 41 22
32 43 13
32 44 14
33 5 1
33 6 19
33 19 12
33 24 22
33 45 17
34 9 3
34 11 17
34 26 14
34 44 26
34 48 14
35 14 2
35 19 6
35 40 21
35 47 29
36 6 3
36 27 11
36 37 18
36 40 30
36 43 21
37 5 26
37 13 28
37 25 14
37 35 26
38 9 13
38 19 26
38 25 6
38 40 1
38 44 2
38 45 19
38 47 5
39 6 15
39 7 20
39 11 23
39 13 18
39 20 3
40 2 2
41 14 20
42 13 11
42 16 15
42 22 7
42 45 24
42 46 16
43 6 4
43 33 14
43 46 7
44 18 6
44 50 16
45 2 16
45 6 5
45 11 7
45 18 11
45 24 24
45 25 20
45 36 28
45 44 6
45 45 15
45 49 26
46 12 28
46 18 8
46 28 14
47 8 2
47 33 22
47 41 25
47 44 17
48 15 1
48 23 27
48 26 18
48 43 12
48 44 7
48 48 24
48 49 18
49 13 30
49 29 1
49 49 21
49 50 6
50 10 29
50 40 26
