50 2400
1 1 19
1 2 24
1 3 2
1 4 18
1 5 6
1 6 11
1 7 11
1 8 7
1 9 30
1 10 15
1 11 13
1 12 1
1 13 24
1 14 6
1 15 8
1 16 26
1 17 4
1 18 5
1 19 5
1 20 15
1 21 16
1 22 22
1 23 25
1 24 7
1 25 18
1 26 5
1 27 1
1 28 18
1 29 17
1 30 6
1 31 14
1 32 5
1 33 29
1 34 15
1 35 14
1 36 27
1 37 17
1 38 17
1 39 3
1 40 9
1 41 23
1 42 8
1 43 1
1 44 16
1 45 13
1 46 9
1 48 3
1 49 8
1 50 5
2 1 29
2 2 15
2 3 20
2 4 21
2 5 9
2 6 19
2 7 30
2 8 14
2 9 11
2 10 18
2 11 22
2 12 8
2 13 1
2 14 18
2 15 7
2 17 7
2 18 23
2 19 3
2 20 16
2 21 1
2 22 27
2 23 24
2 24 24
2 25 26
2 26 24
2 27 1
2 28 1
2 29 2
2 30 4
2 31 8
2 32 6
2 33 2
2 34 22
2 36 18
2 37 14
2 38 23
2 39 28
2 40 14
2 41 28
2 42 8
2 43 23
2 44 19
2 45 16
2 46 15
2 47 28
2 48 14
2 49 21
2 50 20
3 1 8
3 2 6
3 3 21
3 4 26
3 5 29
3 6 14
3 7 22
3 8 15
3 9 6
3 10 14
3 11 16
3 12 9
3 13 21
3 14 22
3 15 3
3 16 5
3 17 1
3 18 8
3 19 27
3 21 28
3 22 21
3 24 24
3 25 27
3 26 5
3 27 4
3 28 4
3 29 19
3 30 1
3 31 9
3 33 2
3 34 12
3 35 16
3 36 29
3 37 2
3 38 4
3 39 28
3 40 7
3 41 17
3 42 4
3 43 13
3 44 30
3 45 19
3 46 13
3 47 12
3 48 2
3 49 7
3 50 16
4 1 2
4 2 15
4 3 12
4 4 21
4 5 27
4 6 27
4 7 18
4 8 2
4 9 22
4 10 13
4 11 20
4 12 22
4 13 22
4 14 13
4 15 4
4 16 29
4 18 12
4 19 27
4 20 2
4 21 1
4 22 4
4 23 10
4 24 4
4 25 8
4 27 9
4 28 22
4 29 20
4 30 21
4 31 16
4 32 27
4 33 28
4 34 9
4 35 3
4 36 10
4 37 30
4 39 29
4 40 28
4 41 9
4 42 30
4 43 20
4 44 21
4 45 12
4 46 3
4 47 4
4 48 24
4 49 28
4 50 3
5 1 27
5 2 25
5 3 26
5 4 27
5 5 20
5 7 6
5 8 30
5 9 27
5 10 14
5 11 14
5 12 8
5 13 26
5 14 29
5 16 26
5 17 24
5 18 7
5 19 28
5 20 25
5 21 28
5 22 27
5 23 14
5 24 6
5 25 18
5 26 3
5 27 19
5 28 21
5 29 28
5 30 14
5 31 7
5 32 25
5 33 16
5 34 3
5 35 11
5 36 12
5 37 22
5 38 30
5 39 17
5 40 21
5 41 26
5 42 22
5 43 4
5 44 4
5 45 10
5 46 2
5 47 29
5 48 25
5 49 1
5 50 19
6 1 19
6 2 28
6 3 7
6 4 2
6 5 26
6 6 24
6 7 27
6 8 6
6 9 7
6 10 24
6 11 19
6 12 5
6 13 10
6 14 5
6 15 29
6 16 21
6 17 8
6 18 20
6 19 20
6 20 16
6 21 11
6 22 8
6 23 29
6 24 6
6 25 11
6 26 8
6 28 30
6 29 1
6 30 2
6 31 30
6 32 11
6 33 12
6 34 19
6 35 17
6 36 6
6 38 14
6 39 3
6 40 24
6 41 11
6 42 9
6 43 9
6 44 30
6 45 5
6 46 18
6 47 26
6 48 3
6 49 30
6 50 3
7 1 23
7 2 20
7 3 18
7 4 25
7 5 27
7 6 8
7 7 30
7 8 29
7 9 16
7 10 29
7 12 21
7 13 9
7 14 20
7 15 2
7 16 13
7 17 9
7 18 10
7 19 18
7 20 14
7 21 12
7 22 11
7 23 25
7 24 12
7 25 11
7 26 24
7 27 16
7 28 28
7 29 19
7 30 19
7 31 28
7 32 13
7 33 3
7 34 9
7 35 22
7 37 19
7 38 27
7 40 29
7 41 10
7 42 17
7 43 6
7 44 1
7 45 29
7 46 15
7 47 20
7 48 30
7 49 27
7 50 20
8 1 10
8 2 6
8 3 4
8 4 13
8 5 8
8 6 28
8 7 25
8 9 18
8 11 13
8 12 10
8 13 7
8 14 23
8 15 20
8 16 26
8 18 5
8 19 14
8 20 4
8 21 26
8 22 2
8 23 30
8 24 16
8 25 12
8 26 8
8 27 22
8 28 4
8 29 7
8 30 6
8 31 23
8 32 28
8 33 24
8 34 13
8 35 7
8 36 21
8 37 8
8 38 12
8 39 20
8 41 27
8 42 6
8 43 7
8 44 9
8 45 15
8 46 5
8 47 1
8 48 27
8 49 1
8 50 27
9 1 10
9 2 4
9 3 14
9 4 4
9 5 26
9 6 29
9 7 7
9 8 3
9 9 20
9 10 10
9 11 9
9 12 17
9 13 24
9 14 7
9 15 2
9 16 6
9 17 5
9 18 22
9 19 5
9 20 16
9 21 11
9 22 1
9 23 21
9 24 9
9 25 9
9 26 28
9 27 14
9 28 1
9 29 24
9 30 14
9 31 27
9 32 25
9 33 17
9 34 10
9 35 28
9 37 4
9 38 9
9 39 4
9 40 7
9 41 20
9 42 13
9 43 15
9 44 7
9 45 7
9 46 13
9 47 30
9 48 4
9 49 18
9 50 22
10 1 9
10 2 3
10 3 24
10 4 1
10 5 16
10 6 3
10 7 10
10 8 5
10 9 8
10 10 10
10 11 28
10 12 21
10 13 29
10 14 14
10 15 29
10 16 30
10 17 12
10 18 3
10 19 30
10 20 7
10 21 1
10 22 20
10 23 12
10 24 15
10 25 18
10 26 10
10 27 28
10 28 17
10 29 13
10 30 7
10 31 30
10 32 13
10 33 9
10 34 24
10 35 6
10 36 16
10 37 18
10 38 15
10 39 20
10 40 25
10 41 16
10 42 9
10 43 7
10 44 6
10 45 23
10 46 27
10 47 6
10 48 26
10 49 21
10 50 5
11 1 2
11 2 21
11 3 24
11 4 13
11 5 6
11 6 3
11 7 22
11 8 25
11 9 20
11 10 27
11 11 1
11 12 19
11 13 1
11 14 1
11 15 4
11 16 6
11 17 17
11 18 21
11 19 20
11 20 28
11 21 7
11 22 28
11 23 7
11 24 5
11 25 3
11 26 21
11 27 2
11 28 8
11 29 16
11 30 22
11 31 5
11 32 17
11 33 13
11 34 28
11 35 30
11 36 10
11 37 1
11 38 13
11 39 4
11 40 12
11 41 9
11 42 26
11 43 30
11 44 10
11 45 26
11 46 26
11 47 15
11 48 4
11 49 8
11 50 27
12 1 24
12 2 7
12 3 16
12 4 22
