100 300
1 6 24
1 49 14
1 54 20
2 16 14
2 61 7
2 100 10
3 48 25
4 22 30
4 37 11
4 41 5
4 91 7
5 21 29
5 98 18
6 24 8
6 42 24
6 54 4
6 65 8
7 17 5
7 73 11
8 29 19
8 90 1
9 1 12
9 43 6
9 53 29
9 62 4
9 76 5
10 6 21
10 97 20
11 8 29
11 23 21
12 15 6
12 17 14
13 21 26
13 22 25
13 41 20
13 68 24
14 16 26
14 19 6
14 48 23
14 50 28
14 82 10
15 18 21
15 21 18
15 85 19
15 93 20
15 100 12
16 19 22
16 62 27
16 89 8
17 3 3
17 59 15
17 75 30
18 2 6
18 63 21
18 94 28
19 28 2
19 38 25
20 13 10
20 22 21
20 28 15
20 75 22
21 5 18
21 86 28
22 27 17
23 7 12
23 15 9
23 51 10
23 60 29
23 88 14
24 30 24
24 49 26
24 59 23
24 92 14
25 17 14
25 44 4
25 53 3
25 63 17
25 87 25
25 91 29
26 41 24
26 57 19
26 65 5
26 99 23
27 53 25
27 57 17
27 72 12
28 9 26
28 66 11
29 6 21
29 24 8
29 26 17
29 91 12
30 7 26
30 76 15
30 93 20
31 26 29
31 73 15
31 94 29
31 96 28
32 33 29
32 72 14
32 85 15
33 9 13
33 65 27
33 79 20
33 85 16
33 96 21
34 29 6
34 54 3
35 4 11
35 32 29
35 34 21
35 86 15
35 99 13
36 74 15
37 9 24
37 25 24
37 100 2
38 91 4
39 23 6
39 47 10
39 50 21
39 80 9
40 52 5
40 92 27
41 87 28
41 93 3
42 25 11
42 55 18
42 62 22
42 80 1
43 18 1
43 63 7
43 78 6
43 82 19
44 61 18
44 87 21
45 47 1
45 86 24
46 5 23
46 6 11
46 7 14
46 26 6
46 39 18
46 70 27
46 89 20
47 9 11
47 12 12
47 40 22
48 3 6
48 34 18
48 67 23
49 14 26
49 22 26
49 72 27
50 51 14
51 20 16
51 39 21
51 90 17
52 83 3
53 13 5
53 22 9
53 97 26
54 68 11
54 75 14
54 86 6
55 49 20
55 66 27
55 82 7
55 88 13
57 13 19
57 48 17
57 66 27
57 89 24
57 100 26
58 3 15
58 7 6
58 61 6
58 62 26
58 90 19
59 2 12
59 68 5
60 20 11
60 82 29
61 30 23
61 52 29
62 27 13
62 36 8
62 84 11
62 90 21
63 82 2
64 35 15
64 36 29
64 42 27
64 51 17
64 72 13
64 85 3
65 20 7
65 52 9
65 85 1
65 91 19
66 25 19
66 31 9
66 46 7
66 60 5
66 95 5
67 100 13
68 60 10
68 65 10
69 23 1
69 34 20
69 47 21
69 58 5
69 62 30
70 14 20
70 30 19
70 33 20
70 56 24
70 96 26
71 53 30
71 75 14
72 20 28
72 52 15
72 72 4
73 2 24
73 12 1
73 96 16
74 79 18
74 88 29
74 91 16
74 95 10
74 100 18
75 30 27
75 41 19
75 45 16
76 28 1
77 88 23
79 23 21
79 91 10
80 49 2
81 37 21
81 65 21
81 66 15
81 83 17
82 73 20
83 68 26
83 86 6
84 1 9
84 19 19
84 21 23
84 27 30
84 79 24
84 83 20
84 89 14
86 18 19
86 33 6
86 52 7
86 79 5
87 4 15
87 6 5
87 35 12
87 57 25
87 71 14
88 13 8
88 42 13
88 87 22
88 96 8
89 13 27
89 27 12
89 50 9
89 64 28
89 66 24
89 68 29
89 76 4
89 99 2
90 37 10
90 50 29
90 52 29
90 58 10
91 29 9
91 30 22
91 58 10
91 61 24
91 70 3
93 25 15
94 2 13
94 4 8
94 33 13
94 56 9
95 1 15
95 44 18
95 75 20
96 6 9
96 54 23
96 56 20
98 7 13
98 21 14
98 84 19
99 46 9
99 49 17
