300 900
1 47 5
1 111 2
1 124 4
1 266 9
2 31 29
2 42 15
2 166 14
2 176 30
3 195 1
3 245 30
4 72 26
4 286 18
5 59 25
6 31 25
6 238 4
6 254 19
6 261 24
7 66 24
7 155 22
7 249 26
8 203 16
8 291 18
9 29 14
9 63 25
9 173 21
9 264 12
10 26 28
10 68 2
10 119 6
10 242 25
10 247 15
10 268 3
10 278 26
11 28 10
11 90 11
11 173 17
11 204 17
11 279 24
12 9 8
12 34 9
12 70 15
12 116 25
12 157 26
13 96 10
13 163 19
13 196 21
14 52 28
14 53 12
14 132 14
14 171 11
16 85 29
16 151 22
17 205 20
18 5 4
18 123 16
18 158 2
19 26 15
20 207 5
21 13 25
21 88 21
21 220 21
22 32 1
22 139 15
22 232 9
22 252 3
23 70 25
23 125 25
23 212 19
23 288 10
23 292 24
23 297 27
24 46 16
24 63 18
24 117 14
24 269 17
24 299 6
25 99 4
25 264 6
26 74 9
26 131 9
26 138 8
26 147 7
26 155 30
26 242 27
27 112 3
27 145 7
27 159 20
27 160 17
27 248 3
27 257 6
27 278 29
28 210 24
29 39 7
29 131 13
29 245 2
30 17 9
30 59 29
30 60 18
31 52 19
31 55 8
31 163 11
31 178 7
32 195 16
32 236 28
33 123 20
33 243 2
34 235 25
34 249 15
35 203 8
35 295 3
36 65 23
37 214 7
37 240 1
37 268 15
37 269 26
38 93 3
38 142 13
38 152 15
38 196 12
39 155 16
39 202 21
40 3 10
40 19 1
40 102 19
40 248 23
40 285 24
41 83 27
41 194 13
41 249 11
41 257 7
42 170 21
43 66 13
43 195 13
44 7 28
45 113 2
45 114 2
45 153 29
47 24 26
47 90 16
47 112 28
47 123 20
47 135 30
47 153 27
47 207 20
47 224 14
47 272 22
48 184 15
48 229 19
49 121 28
50 205 26
51 193 26
51 227 18
52 190 27
53 8 26
53 12 28
53 38 11
53 97 19
54 7 24
54 148 24
54 178 21
55 105 30
55 161 6
55 256 3
55 270 4
56 259 3
56 287 4
57 14 5
57 58 23
57 79 21
57 84 12
57 127 13
57 215 10
57 238 12
58 46 9
58 224 21
58 291 17
60 19 30
60 52 5
60 161 5
61 238 27
62 19 22
62 23 30
62 167 7
62 190 11
62 204 17
63 16 4
63 83 21
63 91 27
63 117 20
63 189 14
63 297 17
64 90 11
65 86 11
65 287 11
65 288 15
66 63 13
66 79 14
66 154 19
66 160 28
66 220 26
66 295 23
67 75 10
67 201 5
67 208 4
68 117 18
69 44 18
69 183 12
69 240 9
70 10 14
70 43 9
70 133 5
70 215 6
71 126 8
71 202 3
72 77 8
72 159 17
72 226 7
74 79 28
74 103 13
74 105 26
75 65 4
75 124 22
75 286 28
75 288 14
76 155 2
77 237 12
78 93 19
78 152 16
78 175 23
78 241 8
79 81 3
80 62 15
80 230 17
80 281 30
81 22 10
81 142 26
82 66 17
82 195 13
82 260 4
82 286 30
82 296 21
83 104 30
83 172 27
83 204 29
83 207 3
83 214 26
83 269 7
84 6 1
84 161 24
84 275 19
85 96 18
85 132 19
85 196 10
85 227 15
85 282 2
86 122 12
86 297 27
87 19 12
87 38 19
87 166 11
87 248 19
88 90 13
88 95 17
88 98 27
88 135 12
88 266 26
89 95 14
89 242 20
90 54 8
90 96 17
90 159 12
90 286 21
90 299 9
91 187 8
92 5 11
92 103 11
92 160 4
92 202 17
93 247 3
93 273 19
94 143 27
94 171 20
94 192 7
94 276 7
95 105 4
95 152 30
95 228 10
95 229 22
96 152 4
96 271 20
96 277 24
97 61 14
97 133 2
97 186 10
97 227 11
97 252 6
98 272 27
99 21 16
99 111 25
99 129 27
99 166 25
100 210 6
100 242 17
101 63 3
101 163 6
101 279 27
102 87 5
103 63 1
103 157 13
103 162 7
103 247 11
103 262 9
103 272 26
103 278 17
104 112 7
104 252 21
104 259 8
105 72 8
105 108 13
105 112 11
105 144 19
105 151 28
105 194 17
106 157 13
106 275 8
107 241 19
107 274 18
108 33 4
109 59 4
109 88 12
109 180 30
109 247 28
111 34 10
111 67 16
111 68 30
111 83 7
111 152 12
111 264 4
111 278 7
112 120 24
112 127 2
112 166 17
113 6 25
113 27 27
113 37 25
114 11 23
114 14 10
114 94 2
114 117 1
114 222 14
115 21 5
115 30 19
115 235 11
115 243 21
116 213 1
116 256 18
117 190 9
118 67 18
119 126 22
119 177 12
120 115 22
120 126 13
120 203 10
120 213 23
121 3 29
121 21 1
121 103 29
121 168 10
121 211 27
121 297 27
122 6 26
122 76 28
122 220 13
123 219 12
123 231 17
124 261 7
125 3 4
125 68 26
125 200 30
125 206 4
125 276 1
126 237 4
126 264 15
127 236 11
128 19 16
128 76 15
128 149 29
129 291 24
129 300 25
130 61 12
131 1 28
131 160 8
131 215 24
131 257 7
132 212 22
134 7 22
134 11 29
134 82 20
134 90 24
134 187 25
134 211 16
134 294 11
135 31 15
135 184 20
135 219 14
136 115 1
137 63 18
137 240 17
137 271 18
137 278 17
138 91 13
138 261 18
138 278 13
139 23 27
141 58 28
141 132 28
141 137 3
141 159 18
141 217 14
142 21 19
142 194 21
142 248 11
142 300 26
143 155 15
144 8 9
144 25 9
144 106 28
144 115 7
144 144 28
144 147 13
144 172 24
145 29 5
145 98 15
145 225 8
145 245 24
146 63 28
146 134 30
146 237 3
146 286 7
147 16 17
147 75 20
147 115 19
147 147 26
148 119 24
148 128 7
148 140 15
149 93 21
149 188 9
149 223 3
150 53 4
150 98 28
150 279 23
150 297 6
151 31 15
151 181 29
151 236 14
152 87 24
152 245 19
153 62 21
153 97 13
153 134 1
153 273 6
153 281 18
154 42 16
154 209 13
154 259 3
155 165 5
156 163 4
156 220 6
157 58 11
157 65 20
157 171 17
157 246 21
157 275 7
158 15 10
158 28 27
158 63 21
159 132 22
159 270 6
160 32 15
161 109 18
161 111 25
161 190 30
162 2 23
162 36 1
162 105 28
162 119 7
162 127 16
162 253 8
163 46 19
163 50 29
163 84 9
163 100 24
163 216 8
163 251 16
164 90 28
164 134 2
164 148 12
164 160 1
164 230 29
164 234 23
164 299 12
165 93 15
166 48 5
167 10 18
167 91 16
167 146 2
167 208 30
168 22 30
169 174 29
170 7 15
170 257 9
171 77 15
