7000 15000
1 2218 2
1 6406 22
2 2127 23
2 4434 14
3 6348 25
4 2482 6
4 2534 20
4 2629 9
5 3891 15
5 5701 3
6 1523 11
6 6683 30
7 4478 15
8 2601 19
9 1058 29
9 3393 18
10 255 3
10 983 25
11 5419 26
12 193 11
12 3772 2
13 6649 15
14 207 28
14 2245 23
14 2269 13
15 637 14
15 907 28
15 3573 14
16 4864 19
16 6921 13
17 4072 2
17 5257 20
18 4002 4
19 3265 16
19 5335 25
20 386 29
20 1876 13
20 2135 14
21 3231 29
22 929 28
22 1420 16
22 3376 9
23 359 19
24 4515 30
24 5843 20
24 6238 9
24 6891 10
25 4301 22
25 4521 3
26 4058 5
27 5138 24
27 6878 26
28 2779 12
28 3397 22
29 5543 18
29 6576 24
30 21 27
30 3336 7
30 3833 29
30 6121 15
31 3059 19
32 2699 22
32 2862 26
32 4562 15
32 4763 8
32 6499 20
33 608 5
33 4523 20
33 4700 3
33 4701 3
34 118 9
34 4357 11
34 6168 4
35 2658 28
35 5566 10
36 423 23
36 1516 6
36 3596 11
38 1940 6
38 3302 1
39 3311 8
39 3737 29
39 6161 18
40 2407 19
41 1905 12
41 5857 28
41 6902 4
42 4907 8
43 640 26
43 3599 2
43 6541 22
44 1525 7
44 3917 23
45 6926 17
46 2879 21
46 2925 22
46 4156 28
47 905 17
47 3963 12
47 5541 23
48 461 19
48 1128 12
48 2926 3
49 1842 14
49 4538 9
49 5094 4
49 6347 6
50 2609 7
51 2299 15
51 5102 11
51 6230 29
54 1273 22
54 5555 2
55 2367 8
55 3012 2
55 5875 13
55 6743 5
56 4717 5
58 2140 21
58 3987 23
58 5024 6
58 5649 4
59 2488 29
59 3970 20
59 4200 21
59 6341 11
60 5172 12
61 788 10
61 3655 27
62 2296 15
62 3063 2
64 1459 7
64 2915 26
64 3324 26
64 5772 21
66 756 5
67 1799 30
67 4739 26
68 278 3
68 3021 6
68 4631 29
68 5163 23
69 1283 19
70 116 30
71 4311 30
71 5512 20
72 847 12
73 3255 27
73 4372 24
73 4765 2
73 4873 19
73 6294 29
74 1705 6
74 2677 17
74 4691 10
75 5072 18
75 6402 19
76 109 21
76 578 27
76 749 15
76 5026 5
77 5510 21
77 5988 21
77 6375 1
78 1547 16
78 1951 3
78 3515 27
79 1384 7
79 1580 21
79 4126 29
80 1975 12
80 6060 19
81 903 13
81 3880 30
81 4456 10
83 1959 12
83 3443 11
83 3666 21
83 3984 8
83 5459 4
84 1487 15
84 1917 26
84 4574 24
84 4940 12
85 3664 4
86 4712 4
87 6553 21
88 733 22
89 148 16
89 2107 9
90 1921 28
91 2693 21
92 2868 29
92 6443 11
93 1059 21
93 3065 7
94 485 13
94 1426 9
94 2057 13
95 892 3
95 4704 29
96 362 25
97 6512 13
97 6842 11
98 2527 16
98 2668 22
99 592 22
99 5831 27
100 346 5
101 1883 22
102 1923 22
103 2313 19
103 2917 9
103 5330 16
103 6495 22
104 1931 13
104 2022 11
104 5797 12
105 1147 26
105 4499 26
106 71 20
106 724 24
106 2733 8
106 3944 11
106 4888 4
106 5701 20
106 5792 17
106 6268 8
106 6609 28
107 1128 29
107 1465 3
107 2352 26
107 3560 15
107 4188 15
108 640 28
108 5516 1
108 6472 29
109 72 20
109 586 19
109 1843 3
109 5024 3
109 6867 2
110 1910 13
110 3229 11
110 6223 9
111 1286 4
111 1786 15
111 3858 19
112 18 15
112 1080 11
112 2378 7
112 6054 26
113 1822 26
113 4055 14
113 4382 6
113 5043 21
113 6117 4
113 6663 22
116 1055 28
116 5465 23
117 2423 13
117 5624 22
118 3785 19
118 4143 27
118 4793 29
119 164 8
119 360 19
119 4839 27
119 5929 19
120 2435 29
121 3381 21
121 3960 21
121 4812 1
122 1288 3
122 1343 2
122 1684 9
122 1692 6
122 3604 16
122 6305 20
122 6806 12
123 6049 18
123 6374 26
123 6709 7
126 389 13
126 1343 9
128 2532 13
129 942 3
129 4982 4
130 4162 26
131 1508 23
131 3036 27
131 4012 8
131 4533 14
132 1321 7
132 3257 27
132 5754 12
133 239 14
133 6779 15
134 1054 8
134 1638 3
135 2990 6
135 6938 20
136 1435 23
136 2956 6
137 1233 22
137 3325 16
138 4575 14
139 1317 27
139 1938 2
139 3939 3
139 6848 8
140 1199 11
140 1767 20
141 4568 15
142 1293 24
142 3059 21
142 3361 19
142 4042 26
142 6557 24
143 6890 14
144 5024 10
145 5480 20
146 2559 14
