3000 8000
1 2132 9
1 2604 17
2 658 4
2 807 28
2 1215 23
2 1873 11
2 2114 8
2 2191 7
2 2457 15
3 1028 16
3 2246 11
4 1537 11
4 1884 21
4 2560 29
5 875 22
5 1886 25
6 100 24
7 585 10
7 1819 29
7 2494 10
8 652 8
8 1079 5
8 1189 26
8 2396 26
9 438 17
9 881 26
9 1016 1
9 2908 2
10 619 27
10 1202 2
10 1443 21
10 2083 27
10 2931 18
11 1779 24
11 2119 24
12 26 2
13 675 27
13 935 23
14 1260 8
14 1494 11
15 1632 1
15 2387 10
15 2991 14
16 428 21
16 1246 9
16 1258 5
16 2467 15
17 2002 24
18 912 14
18 1613 5
18 1783 4
18 2025 21
19 199 1
19 986 21
19 2051 8
19 2190 18
19 2247 8
19 2346 9
20 1309 19
21 1087 4
21 2875 2
22 82 2
23 243 30
23 1754 11
24 344 25
24 1022 15
24 2422 12
25 1504 13
25 2524 29
25 2584 11
25 2663 24
26 762 29
26 869 21
26 962 7
26 2185 12
26 2513 29
27 2654 3
28 1024 18
29 985 22
30 521 8
30 2331 15
31 2971 17
32 67 21
32 273 15
32 832 29
32 1749 28
33 1234 2
33 1245 6
33 1375 28
33 1890 13
34 172 1
34 316 29
34 1789 14
34 2079 22
35 2965 1
36 282 30
36 2417 28
36 2707 12
37 202 13
37 684 27
38 1117 15
38 1939 6
39 1305 17
39 2288 27
39 2662 4
39 2686 28
40 2527 17
41 968 28
42 698 16
42 1142 8
42 1438 5
42 1527 30
42 2063 17
43 1876 17
43 2383 14
43 2454 7
44 10 15
44 347 16
44 820 5
44 1066 4
46 685 20
46 1079 5
46 1519 25
47 718 3
47 1090 19
47 1399 25
47 2458 2
48 1254 16
48 1671 29
49 319 6
49 1341 12
49 2380 13
49 2853 3
50 937 29
50 2600 1
50 2926 6
51 233 18
51 476 17
51 1652 25
52 2744 3
52 2753 16
53 696 22
53 1053 24
53 1429 2
54 138 8
54 786 8
54 2144 1
55 208 14
55 375 15
55 2107 5
55 2699 18
56 95 4
56 523 1
56 528 12
56 2059 28
56 2453 19
57 1809 28
57 2885 21
58 49 5
58 1623 26
58 2128 27
59 858 8
60 867 30
60 1106 29
60 2071 6
61 1293 30
62 1526 5
62 1673 24
62 2510 8
63 133 21
63 1293 18
63 1976 24
64 994 12
64 1105 12
65 410 17
65 609 20
65 977 11
65 1081 17
65 1837 25
65 2927 17
66 898 21
66 2443 12
67 400 12
67 1009 22
67 1169 15
68 1035 9
69 46 2
69 859 5
69 860 29
69 1381 6
70 584 30
70 921 25
70 2483 14
71 630 22
71 957 24
72 1641 11
72 1890 13
72 2409 20
73 892 26
73 2625 21
74 1112 10
75 2719 14
76 448 6
76 1045 14
76 1215 17
76 2333 22
76 2570 25
77 81 27
77 626 9
77 2352 19
78 1786 5
78 2373 29
78 2570 23
79 229 16
79 1210 12
79 1222 29
79 1829 24
80 557 14
80 2254 3
80 2266 22
80 2456 11
81 1006 25
82 722 9
83 1067 16
83 2679 8
84 1388 2
84 2833 27
86 1889 12
87 741 13
87 2443 14
87 2932 2
89 41 22
89 2409 27
89 2481 29
90 1068 27
90 1355 5
90 1927 21
90 1944 21
90 2071 23
91 1041 29
91 1640 2
91 2095 27
91 2990 19
92 1258 16
93 1998 12
93 2624 23
93 2867 14
94 2165 5
94 2490 28
94 2877 9
95 1189 19
95 2948 8
96 1165 3
96 1908 27
96 2462 16
97 1499 2
98 483 20
98 1195 4
98 1680 13
99 614 2
99 825 17
99 1639 7
99 2408 15
100 163 6
100 1267 5
101 1446 12
101 1626 10
101 2872 25
102 658 24
102 1392 3
102 2520 15
103 367 25
103 1603 29
104 2825 4
105 285 10
105 1740 3
107 2641 26
108 73 16
108 1019 7
108 1418 15
108 1584 24
108 2086 17
108 2471 14
109 520 18
109 1164 13
109 1460 29
110 941 19
110 1644 24
111 410 2
111 807 1
112 141 25
112 567 19
112 1426 29
113 1940 10
113 2211 24
113 2887 4
113 2963 13
114 1508 25
114 1750 28
114 2213 28
115 2255 27
115 2959 5
117 1183 15
118 2967 18
118 2993 8
119 505 24
119 1752 20
120 534 25
120 2330 1
121 1043 18
121 1261 9
121 1334 24
121 1758 5
121 1852 14
121 2269 3
121 2531 9
122 2589 13
123 551 21
123 778 3
123 1336 14
124 1048 14
124 2168 27
124 2206 24
124 2486 12
125 537 28
126 1234 17
127 679 7
127 1135 2
127 2191 4
127 2376 27
128 1760 30
129 160 30
129 1852 1
129 2321 14
130 820 17
130 894 30
130 1110 29
130 2320 28
130 2370 24
131 406 22
131 1009 16
132 170 24
132 175 15
132 426 20
132 728 7
132 758 10
132 1019 20
133 229 11
133 382 22
133 1255 22
133 2615 25
134 1555 5
135 636 11
135 2375 10
135 2758 9
136 819 30
138 563 19
138 1808 15
138 2715 24
138 2942 22
139 440 11
139 1734 23
139 2860 21
141 1292 3
142 1280 28
143 31 30
143 2514 2
143 2704 18
143 2933 27
144 500 17
144 813 9
144 1487 4
144 2468 2
144 2680 16
146 1210 15
146 2367 9
146 2607 25
147 2515 5
148 1540 11
148 1939 16
148 2027 18
148 2480 27
149 1441 13
149 2694 28
149 2801 7
150 261 13
150 1021 20
150 1609 25
151 1628 27
152 301 13
153 649 16
153 1297 30
153 2447 27
153 2448 28
154 309 24
154 2173 16
155 218 19
155 1429 26
155 2835 3
156 284 8
156 1081 12
156 2337 4
156 2664 11
156 2912 14
157 2490 19
157 2956 26
158 300 14
158 1353 5
159 2549 22
159 2753 24
159 2799 12
159 2897 9
160 3 21
160 824 24
161 206 29
161 548 19
161 595 6
161 657 10
161 1433 13
161 1661 25
161 2477 22
162 463 20
162 708 16
162 710 10
162 841 9
163 1419 9
163 2771 25
163 2973 28
164 2455 26
165 328 19
165 2102 27
166 1845 8
167 419 14
167 2023 29
169 557 13
169 1328 24
170 322 24
170 1927 18
170 2741 28
171 817 7
171 1555 3
171 2120 2
172 686 8
172 991 23
172 1751 17
173 752 6
173 2458 3
174 89 15
174 598 15
174 871 7
174 1657 9
174 1939 28
176 146 26
176 1993 16
176 2773 29
176 2901 27
178 714 24
178 1498 15
179 114 16
179 815 20
179 2367 25
179 2511 12
180 235 19
180 2452 9
181 218 10
181 602 23
181 1484 2
182 39 26
182 155 10
182 1262 22
182 1986 24
182 2700 12
183 1193 15
184 427 1
185 1027 27
186 105 1
186 2046 6
187 954 29
190 312 15
190 1029 12
190 1586 6
191 521 15
191 548 1
191 1061 23
192 523 30
192 811 21
192 881 19
194 1164 16
194 1577 5
194 2397 26
195 230 27
195 700 30
195 2074 7
196 718 7
196 739 30
196 1151 9
196 1798 29
196 2119 1
196 2496 4
197 504 30
197 753 14
197 1805 19
197 2367 3
197 2801 28
198 1318 20
198 1584 29
199 553 21
199 1017 17
199 2868 20
200 1242 27
201 238 21
201 1375 17
201 1847 12
201 1981 21
201 2054 9
201 2084 3
203 1355 12
203 2090 20
204 1862 10
205 420 8
205 917 7
205 1001 28
205 2873 7
206 282 14
206 414 4
206 1196 6
206 2078 14
206 2283 24
206 2787 29
207 306 9
207 885 23
207 1017 4
207 1241 27
209 80 26
209 1334 24
209 2186 16
209 2317 16
210 302 6
210 1805 3
212 132 27
212 156 2
212 338 23
212 1000 13
212 1052 5
212 1164 5
213 772 14
213 813 8
213 953 8
213 1399 25
213 2626 9
214 1745 16
214 2324 1
214 2385 7
215 390 22
215 399 6
215 810 2
215 1072 20
215 2627 19
216 383 18
216 969 10
216 1223 19
216 1885 10
216 2082 5
216 2719 16
217 303 27
217 2103 28
217 2680 1
218 620 5
218 702 3
218 1007 25
218 1185 1
219 88 5
219 546 9
219 1421 14
219 2920 9
220 229 14
220 487 27
220 2724 8
221 9 13
221 155 13
221 2251 9
222 277 28
222 830 13
222 1168 7
222 1617 12
222 2556 11
223 1771 8
225 787 23
225 800 29
225 2982 17
226 831 2
226 2581 18
226 2746 19
226 2979 6
227 792 25
227 2052 15
228 2112 26
229 186 17
229 1788 11
229 2487 28
229 2858 12
230 293 12
230 909 24
232 592 12
232 1496 17
232 1993 25
232 2372 25
233 1182 5
234 2661 24
235 1069 8
235 1602 17
235 1921 2
236 2072 27
237 1631 21
